partij,age,gender,geo,percentage geslacht/leeftijd,percentage regio,percentage totaal
GroenLinks,25-34,onbekend,Flevoland,"0,15","2,17",0
PvdA,25-34,onbekend,Flevoland,"0,04","24,29","0,01"
PvdD,25-34,onbekend,Flevoland,"0,09","2,22",0
SGP,25-34,onbekend,Flevoland,"0,03","6,39",0
SP,25-34,onbekend,Flevoland,"0,02","2,18",0
VVD,25-34,onbekend,Flevoland,"0,06","2,24",0
50Plus,35-44,onbekend,Flevoland,0,"2,05",0
CDA,35-44,onbekend,Flevoland,"0,08","2,07",0
ChristenUnie,35-44,onbekend,Flevoland,"0,08","3,64",0
D66,35-44,onbekend,Flevoland,"0,07","3,06",0
DENK,35-44,onbekend,Flevoland,"0,11","2,52",0
FvD,35-44,onbekend,Flevoland,"0,07","2,27",0
GroenLinks,35-44,onbekend,Flevoland,"0,08","2,17",0
PvdA,35-44,onbekend,Flevoland,"0,08","24,29","0,03"
PvdD,35-44,onbekend,Flevoland,"0,08","2,22",0
SGP,35-44,onbekend,Flevoland,"0,06","6,39",0
SP,35-44,onbekend,Flevoland,"0,03","2,18",0
VVD,35-44,onbekend,Flevoland,"0,1","2,24",0
50Plus,45-54,onbekend,Flevoland,0,"2,05",0
CDA,45-54,onbekend,Flevoland,"0,06","2,07",0
ChristenUnie,45-54,onbekend,Flevoland,"0,07","3,64",0
D66,45-54,onbekend,Flevoland,"0,08","3,06",0
DENK,45-54,onbekend,Flevoland,"0,08","2,52",0
FvD,45-54,onbekend,Flevoland,"0,05","2,27",0
GroenLinks,45-54,onbekend,Flevoland,"0,06","2,17",0
PvdA,45-54,onbekend,Flevoland,"0,08","24,29","0,01"
PvdD,45-54,onbekend,Flevoland,"0,05","2,22",0
SGP,45-54,onbekend,Flevoland,"0,02","6,39",0
SP,45-54,onbekend,Flevoland,"0,04","2,18",0
VVD,45-54,onbekend,Flevoland,"0,09","2,24",0
50Plus,55-64,onbekend,Flevoland,"0,07","2,05",0
CDA,55-64,onbekend,Flevoland,"0,05","2,07",0
ChristenUnie,55-64,onbekend,Flevoland,"0,05","3,64",0
D66,55-64,onbekend,Flevoland,"0,07","3,06",0
DENK,55-64,onbekend,Flevoland,"0,04","2,52",0
FvD,55-64,onbekend,Flevoland,"0,03","2,27",0
GroenLinks,55-64,onbekend,Flevoland,"0,03","2,17",0
PvdA,55-64,onbekend,Flevoland,"0,06","24,29",0
PvdD,55-64,onbekend,Flevoland,"0,03","2,22",0
SGP,55-64,onbekend,Flevoland,"0,02","6,39",0
SP,55-64,onbekend,Flevoland,"0,08","2,18",0
VVD,55-64,onbekend,Flevoland,"0,05","2,24",0
50Plus,65+,onbekend,Flevoland,"0,27","2,05","0,01"
CDA,65+,onbekend,Flevoland,"0,06","2,07",0
ChristenUnie,65+,onbekend,Flevoland,"0,07","3,64",0
D66,65+,onbekend,Flevoland,"0,07","3,06",0
DENK,65+,onbekend,Flevoland,"0,04","2,52",0
FvD,65+,onbekend,Flevoland,"0,04","2,27",0
GroenLinks,65+,onbekend,Flevoland,"0,04","2,17",0
PvdA,65+,onbekend,Flevoland,"0,05","24,29",0
PvdD,65+,onbekend,Flevoland,"0,03","2,22",0
SGP,65+,onbekend,Flevoland,"0,01","6,39",0
SP,65+,onbekend,Flevoland,"0,08","2,18",0
VVD,65+,onbekend,Flevoland,"0,05","2,24",0
50Plus,13-17,vrouw,Friesland,0,"5,3",0
CDA,13-17,vrouw,Friesland,0,"5,42",0
ChristenUnie,13-17,vrouw,Friesland,0,"5,58",0
D66,13-17,vrouw,Friesland,0,"5,85",0
DENK,13-17,vrouw,Friesland,0,"3,19",0
FvD,13-17,vrouw,Friesland,"0,01","6,38",0
GroenLinks,13-17,vrouw,Friesland,0,"3,42",0
PvdA,13-17,vrouw,Friesland,"0,09","31,29","0,02"
PvdD,13-17,vrouw,Friesland,"1,01","5,73","0,05"
SGP,13-17,vrouw,Friesland,0,"3,14",0
SP,13-17,vrouw,Friesland,0,"5,48",0
VVD,13-17,vrouw,Friesland,0,"3,99",0
50Plus,18-24,vrouw,Friesland,0,"5,3",0
CDA,18-24,vrouw,Friesland,"0,89","5,42","0,05"
ChristenUnie,18-24,vrouw,Friesland,"3,11","5,58","0,17"
D66,18-24,vrouw,Friesland,"13,58","5,85","0,69"
DENK,18-24,vrouw,Friesland,"6,32","3,19","0,49"
FvD,18-24,vrouw,Friesland,"2,21","6,38","0,12"
GroenLinks,18-24,vrouw,Friesland,"21,77","3,42","0,67"
PvdA,18-24,vrouw,Friesland,"17,59","31,29","5,39"
PvdD,18-24,vrouw,Friesland,"21,32","5,73","0,98"
SGP,18-24,vrouw,Friesland,"9,08","3,14","0,28"
SP,18-24,vrouw,Friesland,"1,41","5,48","0,02"
VVD,18-24,vrouw,Friesland,"5,6","3,99","0,18"
50Plus,25-34,vrouw,Friesland,0,"5,3",0
CDA,25-34,vrouw,Friesland,"6,09","5,42","0,22"
ChristenUnie,25-34,vrouw,Friesland,"7,48","5,58","0,39"
D66,25-34,vrouw,Friesland,"8,1","5,85","0,35"
DENK,25-34,vrouw,Friesland,"5,59","3,19","0,15"
FvD,25-34,vrouw,Friesland,"3,3","6,38","0,18"
GroenLinks,25-34,vrouw,Friesland,"15,95","3,42","0,47"
PvdA,25-34,vrouw,Friesland,"11,71","31,29","3,33"
PvdD,25-34,vrouw,Friesland,"14,15","5,73","0,72"
SGP,25-34,vrouw,Friesland,"9,39","3,14","0,29"
SP,25-34,vrouw,Friesland,"2,11","5,48","0,06"
VVD,25-34,vrouw,Friesland,"5,61","3,99","0,19"
50Plus,35-44,vrouw,Friesland,0,"5,3",0
CDA,35-44,vrouw,Friesland,"6,21","5,42","0,26"
ChristenUnie,35-44,vrouw,Friesland,"10,65","5,58","0,57"
D66,35-44,vrouw,Friesland,"5,61","5,85","0,26"
DENK,35-44,vrouw,Friesland,"6,08","3,19","0,11"
FvD,35-44,vrouw,Friesland,"3,71","6,38","0,23"
GroenLinks,35-44,vrouw,Friesland,"5,88","3,42","0,17"
PvdA,35-44,vrouw,Friesland,"7,68","31,29","2,19"
PvdD,35-44,vrouw,Friesland,"6,88","5,73","0,39"
SGP,35-44,vrouw,Friesland,"6,22","3,14","0,19"
SP,35-44,vrouw,Friesland,"2,8","5,48","0,12"
VVD,35-44,vrouw,Friesland,"4,86","3,99","0,19"
50Plus,45-54,vrouw,Friesland,0,"5,3",0
CDA,45-54,vrouw,Friesland,"7,4","5,42","0,35"
ChristenUnie,45-54,vrouw,Friesland,"11,37","5,58","0,62"
D66,45-54,vrouw,Friesland,"7,52","5,85","0,46"
DENK,45-54,vrouw,Friesland,"4,66","3,19","0,01"
FvD,45-54,vrouw,Friesland,"5,52","6,38","0,35"
GroenLinks,45-54,vrouw,Friesland,"6,8","3,42","0,22"
PvdA,45-54,vrouw,Friesland,"7,68","31,29","2,54"
PvdD,45-54,vrouw,Friesland,"4,92","5,73","0,31"
SGP,45-54,vrouw,Friesland,"5,77","3,14","0,18"
SP,45-54,vrouw,Friesland,"5,26","5,48","0,27"
VVD,45-54,vrouw,Friesland,"6,61","3,99","0,26"
50Plus,55-64,vrouw,Friesland,"9,36","5,3","0,49"
CDA,55-64,vrouw,Friesland,"7,91","5,42","0,43"
ChristenUnie,55-64,vrouw,Friesland,"11,67","5,58","0,65"
D66,55-64,vrouw,Friesland,"8,03","5,85","0,52"
DENK,55-64,vrouw,Friesland,"5,54","3,19",0
FvD,55-64,vrouw,Friesland,"7,77","6,38","0,49"
GroenLinks,55-64,vrouw,Friesland,"5,42","3,42","0,23"
PvdA,55-64,vrouw,Friesland,"9,32","31,29","2,97"
PvdD,55-64,vrouw,Friesland,"5,56","5,73","0,37"
SGP,55-64,vrouw,Friesland,"5,08","3,14","0,16"
SP,55-64,vrouw,Friesland,"11,75","5,48","0,7"
VVD,55-64,vrouw,Friesland,"5,76","3,99","0,24"
50Plus,65+,vrouw,Friesland,"46,14","5,3","2,5"
CDA,65+,vrouw,Friesland,"10,99","5,42","0,68"
ChristenUnie,65+,vrouw,Friesland,"18,94","5,58","1,08"
D66,65+,vrouw,Friesland,"8,75","5,85","0,51"
DENK,65+,vrouw,Friesland,"7,22","3,19",0
FvD,65+,vrouw,Friesland,"7,63","6,38","0,5"
GroenLinks,65+,vrouw,Friesland,"6,42","3,42","0,31"
PvdA,65+,vrouw,Friesland,"10,51","31,29","3,59"
PvdD,65+,vrouw,Friesland,"6,31","5,73","0,44"
SGP,65+,vrouw,Friesland,"6,32","3,14","0,2"
SP,65+,vrouw,Friesland,"17,44","5,48","1,07"
VVD,65+,vrouw,Friesland,"5,41","3,99","0,38"
50Plus,13-17,man,Friesland,0,"5,3",0
CDA,13-17,man,Friesland,0,"5,42",0
ChristenUnie,13-17,man,Friesland,0,"5,58",0
D66,13-17,man,Friesland,0,"5,85",0
DENK,13-17,man,Friesland,0,"3,19",0
FvD,13-17,man,Friesland,"0,08","6,38","0,01"
GroenLinks,13-17,man,Friesland,0,"3,42",0
PvdA,13-17,man,Friesland,"0,04","31,29","0,01"
PvdD,13-17,man,Friesland,"0,88","5,73","0,05"
SGP,13-17,man,Friesland,0,"3,14",0
SP,13-17,man,Friesland,0,"5,48",0
VVD,13-17,man,Friesland,0,"3,99",0
50Plus,18-24,man,Friesland,0,"5,3",0
CDA,18-24,man,Friesland,"2,05","5,42","0,11"
ChristenUnie,18-24,man,Friesland,"3,2","5,58","0,18"
D66,18-24,man,Friesland,"9,72","5,85","0,5"
DENK,18-24,man,Friesland,"15,15","3,19","1,35"
FvD,18-24,man,Friesland,"8,35","6,38","0,51"
GroenLinks,18-24,man,Friesland,"10,68","3,42","0,32"
PvdA,18-24,man,Friesland,"6,34","31,29","1,73"
PvdD,18-24,man,Friesland,"10,03","5,73","0,55"
SGP,18-24,man,Friesland,"13,65","3,14","0,42"
SP,18-24,man,Friesland,"2,84","5,48","0,08"
VVD,18-24,man,Friesland,"12,14","3,99","0,41"
50Plus,25-34,man,Friesland,0,"5,3",0
CDA,25-34,man,Friesland,"8,66","5,42","0,37"
ChristenUnie,25-34,man,Friesland,"6,42","5,58","0,36"
D66,25-34,man,Friesland,"8,99","5,85","0,42"
DENK,25-34,man,Friesland,"14,36","3,19","0,6"
FvD,25-34,man,Friesland,"15,64","6,38",1
GroenLinks,25-34,man,Friesland,"10,85","3,42","0,32"
PvdA,25-34,man,Friesland,"6,18","31,29","2,01"
PvdD,25-34,man,Friesland,"9,42","5,73","0,54"
SGP,25-34,man,Friesland,"17,04","3,14","0,53"
SP,25-34,man,Friesland,"4,03","5,48","0,17"
VVD,25-34,man,Friesland,"15,27","3,99","0,55"
50Plus,35-44,man,Friesland,0,"5,3",0
CDA,35-44,man,Friesland,"8,68","5,42","0,45"
ChristenUnie,35-44,man,Friesland,"6,36","5,58","0,36"
D66,35-44,man,Friesland,"5,85","5,85","0,3"
DENK,35-44,man,Friesland,"13,91","3,19","0,43"
FvD,35-44,man,Friesland,"11,83","6,38","0,75"
GroenLinks,35-44,man,Friesland,"3,84","3,42","0,11"
PvdA,35-44,man,Friesland,"4,01","31,29","1,11"
PvdD,35-44,man,Friesland,"4,49","5,73","0,29"
SGP,35-44,man,Friesland,"8,93","3,14","0,28"
SP,35-44,man,Friesland,"4,81","5,48","0,23"
VVD,35-44,man,Friesland,"10,82","3,99","0,43"
50Plus,45-54,man,Friesland,0,"5,3",0
CDA,45-54,man,Friesland,"10,58","5,42","0,57"
ChristenUnie,45-54,man,Friesland,"6,44","5,58","0,37"
D66,45-54,man,Friesland,"7,76","5,85","0,54"
DENK,45-54,man,Friesland,"8,34","3,19","0,05"
FvD,45-54,man,Friesland,"13,37","6,38","0,88"
GroenLinks,45-54,man,Friesland,"3,73","3,42","0,15"
PvdA,45-54,man,Friesland,"4,86","31,29","1,46"
PvdD,45-54,man,Friesland,"4,72","5,73","0,32"
SGP,45-54,man,Friesland,"7,64","3,14","0,25"
SP,45-54,man,Friesland,"8,82","5,48","0,49"
VVD,45-54,man,Friesland,"12,66","3,99","0,52"
50Plus,55-64,man,Friesland,"9,27","5,3","0,48"
CDA,55-64,man,Friesland,"12,1","5,42","0,73"
ChristenUnie,55-64,man,Friesland,"6,03","5,58","0,35"
D66,55-64,man,Friesland,"7,88","5,85","0,59"
DENK,55-64,man,Friesland,"6,69","3,19",0
FvD,55-64,man,Friesland,"11,44","6,38","0,75"
GroenLinks,55-64,man,Friesland,"3,88","3,42","0,18"
PvdA,55-64,man,Friesland,"6,49","31,29","1,93"
PvdD,55-64,man,Friesland,"5,33","5,73","0,37"
SGP,55-64,man,Friesland,"5,51","3,14","0,18"
SP,55-64,man,Friesland,"16,34","5,48","0,93"
VVD,55-64,man,Friesland,"8,89","3,99","0,37"
50Plus,65+,man,Friesland,"34,89","5,3","1,81"
CDA,65+,man,Friesland,"18,14","5,42","1,18"
ChristenUnie,65+,man,Friesland,"8,03","5,58","0,47"
D66,65+,man,Friesland,"7,58","5,85","0,5"
DENK,65+,man,Friesland,"5,74","3,19",0
FvD,65+,man,Friesland,"8,9","6,38","0,59"
GroenLinks,65+,man,Friesland,"4,29","3,42","0,24"
PvdA,65+,man,Friesland,"7,13","31,29","2,91"
PvdD,65+,man,Friesland,"4,61","5,73","0,32"
SGP,65+,man,Friesland,"5,23","3,14","0,17"
SP,65+,man,Friesland,"22,12","5,48","1,32"
VVD,65+,man,Friesland,"5,96","3,99","0,27"
50Plus,13-17,onbekend,Friesland,0,"5,3",0
CDA,13-17,onbekend,Friesland,0,"5,42",0
ChristenUnie,13-17,onbekend,Friesland,0,"5,58",0
D66,13-17,onbekend,Friesland,0,"5,85",0
DENK,13-17,onbekend,Friesland,0,"3,19",0
FvD,13-17,onbekend,Friesland,0,"6,38",0
GroenLinks,13-17,onbekend,Friesland,0,"3,42",0
PvdA,13-17,onbekend,Friesland,0,"31,29",0
PvdD,13-17,onbekend,Friesland,"0,01","5,73",0
SGP,13-17,onbekend,Friesland,0,"3,14",0
SP,13-17,onbekend,Friesland,0,"5,48",0
VVD,13-17,onbekend,Friesland,0,"3,99",0
50Plus,18-24,onbekend,Friesland,0,"5,3",0
CDA,18-24,onbekend,Friesland,0,"5,42",0
ChristenUnie,18-24,onbekend,Friesland,"0,01","5,58",0
D66,18-24,onbekend,Friesland,"0,07","5,85",0
DENK,18-24,onbekend,Friesland,"0,07","3,19","0,01"
FvD,18-24,onbekend,Friesland,"0,01","6,38",0
GroenLinks,18-24,onbekend,Friesland,"0,12","3,42",0
PvdA,18-24,onbekend,Friesland,"0,06","31,29","0,03"
PvdD,18-24,onbekend,Friesland,"0,08","5,73",0
SGP,18-24,onbekend,Friesland,"0,01","3,14",0
SP,18-24,onbekend,Friesland,"0,01","5,48",0
VVD,18-24,onbekend,Friesland,"0,05","3,99",0
50Plus,25-34,onbekend,Friesland,0,"5,3",0
CDA,25-34,onbekend,Friesland,"0,04","5,42",0
ChristenUnie,25-34,onbekend,Friesland,"0,01","5,58",0
D66,25-34,onbekend,Friesland,"0,08","5,85",0
DENK,25-34,onbekend,Friesland,"0,08","3,19",0
FvD,25-34,onbekend,Friesland,"0,03","6,38",0
GroenLinks,25-34,onbekend,Friesland,"0,15","3,42",0
PvdA,25-34,onbekend,Friesland,"0,04","31,29",0
PvdD,25-34,onbekend,Friesland,"0,09","5,73",0
SGP,25-34,onbekend,Friesland,"0,03","3,14",0
SP,25-34,onbekend,Friesland,"0,02","5,48",0
VVD,25-34,onbekend,Friesland,"0,06","3,99",0
50Plus,35-44,onbekend,Friesland,0,"5,3",0
CDA,35-44,onbekend,Friesland,"0,08","5,42",0
ChristenUnie,35-44,onbekend,Friesland,"0,08","5,58",0
D66,35-44,onbekend,Friesland,"0,07","5,85",0
DENK,35-44,onbekend,Friesland,"0,11","3,19",0
FvD,35-44,onbekend,Friesland,"0,07","6,38",0
GroenLinks,35-44,onbekend,Friesland,"0,08","3,42",0
PvdA,35-44,onbekend,Friesland,"0,08","31,29","0,01"
PvdD,35-44,onbekend,Friesland,"0,08","5,73","0,01"
SGP,35-44,onbekend,Friesland,"0,06","3,14",0
SP,35-44,onbekend,Friesland,"0,03","5,48",0
VVD,35-44,onbekend,Friesland,"0,1","3,99",0
50Plus,45-54,onbekend,Friesland,0,"5,3",0
CDA,45-54,onbekend,Friesland,"0,06","5,42",0
ChristenUnie,45-54,onbekend,Friesland,"0,07","5,58",0
D66,45-54,onbekend,Friesland,"0,08","5,85",0
DENK,45-54,onbekend,Friesland,"0,08","3,19",0
FvD,45-54,onbekend,Friesland,"0,05","6,38",0
GroenLinks,45-54,onbekend,Friesland,"0,06","3,42",0
PvdA,45-54,onbekend,Friesland,"0,08","31,29","0,05"
PvdD,45-54,onbekend,Friesland,"0,05","5,73",0
SGP,45-54,onbekend,Friesland,"0,02","3,14",0
SP,45-54,onbekend,Friesland,"0,04","5,48",0
VVD,45-54,onbekend,Friesland,"0,09","3,99",0
50Plus,55-64,onbekend,Friesland,"0,07","5,3",0
CDA,55-64,onbekend,Friesland,"0,05","5,42",0
ChristenUnie,55-64,onbekend,Friesland,"0,05","5,58",0
D66,55-64,onbekend,Friesland,"0,07","5,85",0
DENK,55-64,onbekend,Friesland,"0,04","3,19",0
FvD,55-64,onbekend,Friesland,"0,03","6,38",0
GroenLinks,55-64,onbekend,Friesland,"0,03","3,42",0
PvdA,55-64,onbekend,Friesland,"0,06","31,29","0,01"
PvdD,55-64,onbekend,Friesland,"0,03","5,73",0
SGP,55-64,onbekend,Friesland,"0,02","3,14",0
SP,55-64,onbekend,Friesland,"0,08","5,48",0
VVD,55-64,onbekend,Friesland,"0,05","3,99",0
50Plus,65+,onbekend,Friesland,"0,27","5,3","0,02"
CDA,65+,onbekend,Friesland,"0,06","5,42",0
ChristenUnie,65+,onbekend,Friesland,"0,07","5,58",0
D66,65+,onbekend,Friesland,"0,07","5,85","0,01"
DENK,65+,onbekend,Friesland,"0,04","3,19",0
FvD,65+,onbekend,Friesland,"0,04","6,38",0
GroenLinks,65+,onbekend,Friesland,"0,04","3,42",0
PvdA,65+,onbekend,Friesland,"0,05","31,29",0
PvdD,65+,onbekend,Friesland,"0,03","5,73",0
SGP,65+,onbekend,Friesland,"0,01","3,14",0
SP,65+,onbekend,Friesland,"0,08","5,48","0,01"
VVD,65+,onbekend,Friesland,"0,05","3,99",0
50Plus,13-17,vrouw,Gelderland,0,"11,32",0
CDA,13-17,vrouw,Gelderland,0,"15,32",0
ChristenUnie,13-17,vrouw,Gelderland,0,"16,51",0
D66,13-17,vrouw,Gelderland,0,"12,21",0
DENK,13-17,vrouw,Gelderland,0,"11,11",0
FvD,13-17,vrouw,Gelderland,"0,01","12,69",0
GroenLinks,13-17,vrouw,Gelderland,0,"11,09",0
PvdA,13-17,vrouw,Gelderland,"0,09","49,13","0,05"
PvdD,13-17,vrouw,Gelderland,"1,01","13,04","0,13"
SGP,13-17,vrouw,Gelderland,0,"21,59",0
SP,13-17,vrouw,Gelderland,0,"12,21",0
VVD,13-17,vrouw,Gelderland,0,"12,87",0
50Plus,18-24,vrouw,Gelderland,0,"11,32",0
CDA,18-24,vrouw,Gelderland,"0,89","15,32","0,13"
ChristenUnie,18-24,vrouw,Gelderland,"3,11","16,51","0,54"
D66,18-24,vrouw,Gelderland,"13,58","12,21","1,67"
DENK,18-24,vrouw,Gelderland,"6,32","11,11","1,58"
FvD,18-24,vrouw,Gelderland,"2,21","12,69","0,29"
GroenLinks,18-24,vrouw,Gelderland,"21,77","11,09","2,59"
PvdA,18-24,vrouw,Gelderland,"17,59","49,13","10,43"
PvdD,18-24,vrouw,Gelderland,"21,32","13,04","2,67"
SGP,18-24,vrouw,Gelderland,"9,08","21,59","1,97"
SP,18-24,vrouw,Gelderland,"1,41","12,21","0,05"
VVD,18-24,vrouw,Gelderland,"5,6","12,87","0,72"
50Plus,25-34,vrouw,Gelderland,0,"11,32",0
CDA,25-34,vrouw,Gelderland,"6,09","15,32","0,61"
ChristenUnie,25-34,vrouw,Gelderland,"7,48","16,51","1,3"
D66,25-34,vrouw,Gelderland,"8,1","12,21","0,87"
DENK,25-34,vrouw,Gelderland,"5,59","11,11","0,54"
FvD,25-34,vrouw,Gelderland,"3,3","12,69","0,44"
GroenLinks,25-34,vrouw,Gelderland,"15,95","11,09","1,72"
PvdA,25-34,vrouw,Gelderland,"11,71","49,13","6,23"
PvdD,25-34,vrouw,Gelderland,"14,15","13,04","1,81"
SGP,25-34,vrouw,Gelderland,"9,39","21,59","2,03"
SP,25-34,vrouw,Gelderland,"2,11","12,21","0,15"
VVD,25-34,vrouw,Gelderland,"5,61","12,87","0,7"
50Plus,35-44,vrouw,Gelderland,0,"11,32",0
CDA,35-44,vrouw,Gelderland,"6,21","15,32","0,92"
ChristenUnie,35-44,vrouw,Gelderland,"10,65","16,51","1,85"
D66,35-44,vrouw,Gelderland,"5,61","12,21","0,63"
DENK,35-44,vrouw,Gelderland,"6,08","11,11","0,44"
FvD,35-44,vrouw,Gelderland,"3,71","12,69","0,47"
GroenLinks,35-44,vrouw,Gelderland,"5,88","11,09","0,58"
PvdA,35-44,vrouw,Gelderland,"7,68","49,13","3,57"
PvdD,35-44,vrouw,Gelderland,"6,88","13,04","0,92"
SGP,35-44,vrouw,Gelderland,"6,22","21,59","1,34"
SP,35-44,vrouw,Gelderland,"2,8","12,21","0,29"
VVD,35-44,vrouw,Gelderland,"4,86","12,87","0,62"
50Plus,45-54,vrouw,Gelderland,0,"11,32",0
CDA,45-54,vrouw,Gelderland,"7,4","15,32","1,21"
ChristenUnie,45-54,vrouw,Gelderland,"11,37","16,51","1,94"
D66,45-54,vrouw,Gelderland,"7,52","12,21","1,09"
DENK,45-54,vrouw,Gelderland,"4,66","11,11","0,05"
FvD,45-54,vrouw,Gelderland,"5,52","12,69","0,7"
GroenLinks,45-54,vrouw,Gelderland,"6,8","11,09","0,7"
PvdA,45-54,vrouw,Gelderland,"7,68","49,13","3,61"
PvdD,45-54,vrouw,Gelderland,"4,92","13,04","0,67"
SGP,45-54,vrouw,Gelderland,"5,77","21,59","1,24"
SP,45-54,vrouw,Gelderland,"5,26","12,21","0,62"
VVD,45-54,vrouw,Gelderland,"6,61","12,87","0,85"
50Plus,55-64,vrouw,Gelderland,"9,36","11,32","1,05"
CDA,55-64,vrouw,Gelderland,"7,91","15,32","1,32"
ChristenUnie,55-64,vrouw,Gelderland,"11,67","16,51","1,94"
D66,55-64,vrouw,Gelderland,"8,03","12,21","1,06"
DENK,55-64,vrouw,Gelderland,"5,54","11,11",0
FvD,55-64,vrouw,Gelderland,"7,77","12,69","0,99"
GroenLinks,55-64,vrouw,Gelderland,"5,42","11,09","0,6"
PvdA,55-64,vrouw,Gelderland,"9,32","49,13","3,8"
PvdD,55-64,vrouw,Gelderland,"5,56","13,04","0,76"
SGP,55-64,vrouw,Gelderland,"5,08","21,59","1,08"
SP,55-64,vrouw,Gelderland,"11,75","12,21","1,5"
VVD,55-64,vrouw,Gelderland,"5,76","12,87","0,71"
50Plus,65+,vrouw,Gelderland,"46,14","11,32","5,3"
CDA,65+,vrouw,Gelderland,"10,99","15,32","1,84"
ChristenUnie,65+,vrouw,Gelderland,"18,94","16,51","2,94"
D66,65+,vrouw,Gelderland,"8,75","12,21","1,1"
DENK,65+,vrouw,Gelderland,"7,22","11,11",0
FvD,65+,vrouw,Gelderland,"7,63","12,69","0,98"
GroenLinks,65+,vrouw,Gelderland,"6,42","11,09","0,78"
PvdA,65+,vrouw,Gelderland,"10,51","49,13","4,17"
PvdD,65+,vrouw,Gelderland,"6,31","13,04","0,87"
SGP,65+,vrouw,Gelderland,"6,32","21,59","1,36"
SP,65+,vrouw,Gelderland,"17,44","12,21","2,22"
VVD,65+,vrouw,Gelderland,"5,41","12,87","0,68"
50Plus,13-17,man,Gelderland,0,"11,32",0
CDA,13-17,man,Gelderland,0,"15,32",0
ChristenUnie,13-17,man,Gelderland,0,"16,51",0
D66,13-17,man,Gelderland,0,"12,21",0
DENK,13-17,man,Gelderland,0,"11,11",0
FvD,13-17,man,Gelderland,"0,08","12,69","0,01"
GroenLinks,13-17,man,Gelderland,0,"11,09",0
PvdA,13-17,man,Gelderland,"0,04","49,13","0,02"
PvdD,13-17,man,Gelderland,"0,88","13,04","0,12"
SGP,13-17,man,Gelderland,0,"21,59",0
SP,13-17,man,Gelderland,0,"12,21",0
VVD,13-17,man,Gelderland,0,"12,87",0
50Plus,18-24,man,Gelderland,0,"11,32",0
CDA,18-24,man,Gelderland,"2,05","15,32","0,31"
ChristenUnie,18-24,man,Gelderland,"3,2","16,51","0,55"
D66,18-24,man,Gelderland,"9,72","12,21","1,17"
DENK,18-24,man,Gelderland,"15,15","11,11","4,33"
FvD,18-24,man,Gelderland,"8,35","12,69","1,06"
GroenLinks,18-24,man,Gelderland,"10,68","11,09","1,17"
PvdA,18-24,man,Gelderland,"6,34","49,13","3,54"
PvdD,18-24,man,Gelderland,"10,03","13,04","1,29"
SGP,18-24,man,Gelderland,"13,65","21,59","2,97"
SP,18-24,man,Gelderland,"2,84","12,21","0,22"
VVD,18-24,man,Gelderland,"12,14","12,87","1,58"
50Plus,25-34,man,Gelderland,0,"11,32",0
CDA,25-34,man,Gelderland,"8,66","15,32","0,96"
ChristenUnie,25-34,man,Gelderland,"6,42","16,51","1,09"
D66,25-34,man,Gelderland,"8,99","12,21","0,99"
DENK,25-34,man,Gelderland,"14,36","11,11","2,19"
FvD,25-34,man,Gelderland,"15,64","12,69","1,99"
GroenLinks,25-34,man,Gelderland,"10,85","11,09","1,11"
PvdA,25-34,man,Gelderland,"6,18","49,13","3,78"
PvdD,25-34,man,Gelderland,"9,42","13,04","1,21"
SGP,25-34,man,Gelderland,"17,04","21,59","3,7"
SP,25-34,man,Gelderland,"4,03","12,21","0,44"
VVD,25-34,man,Gelderland,"15,27","12,87","1,98"
50Plus,35-44,man,Gelderland,0,"11,32",0
CDA,35-44,man,Gelderland,"8,68","15,32","1,34"
ChristenUnie,35-44,man,Gelderland,"6,36","16,51","1,07"
D66,35-44,man,Gelderland,"5,85","12,21","0,64"
DENK,35-44,man,Gelderland,"13,91","11,11","1,74"
FvD,35-44,man,Gelderland,"11,83","12,69","1,51"
GroenLinks,35-44,man,Gelderland,"3,84","11,09","0,36"
PvdA,35-44,man,Gelderland,"4,01","49,13","1,86"
PvdD,35-44,man,Gelderland,"4,49","13,04","0,59"
SGP,35-44,man,Gelderland,"8,93","21,59","1,93"
SP,35-44,man,Gelderland,"4,81","12,21","0,58"
VVD,35-44,man,Gelderland,"10,82","12,87","1,4"
50Plus,45-54,man,Gelderland,0,"11,32",0
CDA,45-54,man,Gelderland,"10,58","15,32","1,7"
ChristenUnie,45-54,man,Gelderland,"6,44","16,51","1,06"
D66,45-54,man,Gelderland,"7,76","12,21","0,95"
DENK,45-54,man,Gelderland,"8,34","11,11","0,2"
FvD,45-54,man,Gelderland,"13,37","12,69","1,69"
GroenLinks,45-54,man,Gelderland,"3,73","11,09","0,4"
PvdA,45-54,man,Gelderland,"4,86","49,13","1,98"
PvdD,45-54,man,Gelderland,"4,72","13,04","0,63"
SGP,45-54,man,Gelderland,"7,64","21,59","1,64"
SP,45-54,man,Gelderland,"8,82","12,21","1,12"
VVD,45-54,man,Gelderland,"12,66","12,87","1,65"
50Plus,55-64,man,Gelderland,"9,27","11,32","1,04"
CDA,55-64,man,Gelderland,"12,1","15,32","1,96"
ChristenUnie,55-64,man,Gelderland,"6,03","16,51","0,97"
D66,55-64,man,Gelderland,"7,88","12,21","1,03"
DENK,55-64,man,Gelderland,"6,69","11,11",0
FvD,55-64,man,Gelderland,"11,44","12,69","1,43"
GroenLinks,55-64,man,Gelderland,"3,88","11,09","0,45"
PvdA,55-64,man,Gelderland,"6,49","49,13","2,97"
